num_imm,type_voie_imm,nom_voie_imm,city
6,impasse de la,loi,Paris
10,impasse de la,loi,Paris
160,boulevard de,magenta,Paris
28,rue,lesueur,Paris
47,rue,rodier,Paris
12,hameau du,danube,Paris
2,rue de l,égalité,Paris
15,rue de la,liberté,Paris
3,rue,bleue,Paris
136,rue de la,croix-nivert,Paris
7,rue,léon-morane,Paris
9,rue,léon-morane,Paris
152,rue,pelleport,Paris
5,rue,ambroise-thomas,Paris
30,rue de la,pompe,Paris
7,rue,dagorno,Paris
9,rue,dagorno,Paris
97,rue,beaubourg,Paris
12,rue,théodule-ribot,Paris
50,rue du,four,Paris
147,rue d',aboukir,Paris
129,boulevard,richard-lenoir,Paris
149,rue de,bagnolet,Paris
2,rue des,lyanes,Paris
4,rue des,lyanes,Paris
181,avenue du,général-michel-bizot,Paris
8,boulevard de,belleville,Paris
23,rue des,lyanes,Paris
5,rue,vital,Paris
7,square du,ranelacgh,Paris
68,rue,saint-charles,Paris
6,cité,nollez,Paris
1,cité des,fleurs,Paris
45,cité des,fleurs,Paris
15,rue,monsieur-le-prince,Paris
40,avenue,marceau,Paris
39,rue,cortambert,Paris
1,rue des,canettes,Paris
5,rue des,canettes,Paris
22,rue des,jardins-saint-paul,Paris
10,rue,taine,Paris
18,rue des,plantes,Paris
19,rue de l',ancienne-comedie,Paris
21,rue de l',ancienne-comedie,Paris
132,boulevard,saint-germain,Paris
45,avenue,victor-hugo,Paris
47,avenue,victor-hugo,Paris
52,rue de,menilmontant,Paris
35,rue,adolphe-yvon,Paris
1,rue,henrion-de-pansey,Paris
22,rue,henrion-de-pansey,Paris
24,rue,henrion-de-pansey,Paris
213,rue,raymond-losserand,Paris
2,rue,vandal,Paris
4,rue,vandal,Paris
27,rue du,rhin,Paris
56,rue,édouard-pailleron,Paris
21,rue,jean-jacques-rousseau,Paris
138,avenue de,versailles,Paris
70,avenue de,clichy,Paris
21,passage,hébrard,Paris
23,passage,hébrard,Paris
25,passage,hébrard,Paris
27,passage,hébrard,Paris
75,rue de,bagnolet,Paris
82,rue,pouchet,Paris
34,rue de,bellevue,Paris
29,rue des,lilas,Paris
31,rue des,lilas,Paris
15,rue de,pali-kao,Paris
21,avenue de la,grande-armée,Paris
36,rue du,bac,Paris
9,avenue,dorian,Paris
8,rue de l',abbé-de-l'épée,Paris
19,boulevard,gouvion-saint-cyr,Paris
60,boulevard de,strasbourg,Paris
19,rue,auber,Paris
22,rue des,mathurins,Paris
2,passage,courat,Paris
4,passage,courat,Paris
12,rue,courat,Paris
36,rue,boissonade,Paris
7,rue,jean-marie-jego,Paris
3,quai de,javel,Paris
5,quai de,javel,Paris
14,rue des,volontaires,Paris
14,rue des,volontaires,Paris
46,rue,marcadet,Paris
1,rue,boulay,Paris
180,avenue de,clichy,Paris
4,impasse des,carrières,Paris
27,rue,vilin,Paris
16,rue de la,banque,Paris
19,rue,gambey,Paris
,,,Paris
8,rue,julie,Paris
7,rue,troyon,Paris
6,rue,hericart,Paris
11,rue,roger,Paris
28,rue,castagnary,Paris
12,rue,juliette-dodu,Paris
50,rue de,dantzig,Paris
34,rue,robert-lindet,Paris
55,rue,saint-jacques,Paris
3,rue d',olivet,Paris
4,rue,dumont-d'urville,Paris
13,rue,cimarosa,Paris
4,rue,piccini,Paris
1,rue de l',étoile,Paris
69,avenue,raymond-poincaré,Paris
71,avenue,raymond-poincaré,Paris
25,avenue de,wagram,Paris
6,rue de la,grande-truanderie,Paris
